NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
INDHOTEL,Hotels,617.0,2879.92,2885.53,3123.68,4514.15,87825.78,3350.82,2798.322238286629,2181.322238286629
CONCOR,Miscellaneous,1042.5,2203.95,6060.44,3834.96,3304.95,63518.96,3851.075,3216.093020159148,2173.593020159148
COLPAL,Personal Care - Multinational,2882.65,3806.38,5402.11,6766.11,7889.07,78403.95,5965.9175,4982.231099263274,2099.5810992632737
CIEINDIA,Castings & Forgings,596.9,2119.28,2970.08,3487.08,4209.94,22644.13,3196.5950000000003,2669.526526431096,2072.626526431096
GTLINFRA,Telecommunications - Equipment,3.43,1067.04,1850.16,2613.87,4397.83,4392.81,2482.225,2072.9449561394003,2069.5149561394005
EMAMILTD,Personal Care - Indian,759.15,1632.58,2904.73,3790.16,5093.62,33136.94,3355.2725,2802.0405907394525,2042.8905907394524
PATELENG,Construction,65.92,1432.27,2067.76,3142.84,3447.31,5566.13,2522.545,2106.6168193393687,2040.6968193393686
PIDILITIND,Chemicals,3163.75,3812.33,5688.08,6803.14,8359.01,160911.28,6165.639999999999,5149.022485621301,1985.2724856213008
NAM-INDIA,Finance & Investments,668.2,1913.54,2950.83,3689.33,4153.39,42190.27,3176.7725,2652.972446364594,1984.7724463645939
PRSMJOHNSN,Cement - North India,173.95,981.12,2372.73,3014.7,3780.62,8755.93,2537.2924999999996,2118.9326874579574,1944.9826874579574
TRIDENT,Textiles - Cotton/Blended,38.64,849.78,2077.44,2902.72,3526.08,19691.21,2339.005,1953.3396920645143,1914.6996920645142
JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,734.35,189.23,2434.53,3727.38,5727.37,11698.23,3019.6275,2521.7381967971587,1787.3881967971588
GPIL,Steel - Large,1082.05,1863.2,3179.91,3999.77,4592.32,14709.93,3408.7999999999997,2846.7422439496777,1764.6922439496777
HCC,Construction,47.99,873.35,1631.75,3287.95,2889.01,8060.85,2170.515,1812.6310553938142,1764.6410553938142
CSBBANK,Banks - Private Sector,379.15,2895.31,3060.02,2153.68,1981.44,6577.73,2522.6125,2106.673189646065,1727.523189646065
ZENSARTECH,Computers - Software - Medium / Small,759.1,1586.8,3013.63,3272.34,4037.35,17206.46,2977.53,2486.581915520853,1727.481915520853
FINPIPE,Plastics Products,327.6,1319.5,2241.81,2697.01,3573.27,20326.88,2457.8975,2052.6286800482,1725.0286800482
JKPAPER,Paper,545.55,2639.02,1779.91,2657.4,3701.32,9241.75,2694.4125,2250.1460591340237,1704.5960591340238
GRAPHITE,Electrodes - Graphites,566.15,493.49,1211.47,4199.62,4731.4,11061.19,2658.995,2220.568350431522,1654.418350431522
GHCL,Chemicals,554.35,1502.74,2431.44,2996.11,3620.2,5308.15,2637.6225000000004,2202.719841100141,1648.369841100141
LUPIN,Pharmaceuticals - Indian - Bulk Drugs & Formln,1602.6,2637.19,4585.11,5552.61,2767.06,73065.12,3885.4925,3244.835613206889,1642.235613206889
ESSARSHPNG,Shipping,49.4,1064.55,1282.47,2155.98,3554.29,1022.5,2014.3225,1682.1922534875393,1632.7922534875393
ALLCARGO,Miscellaneous,61.04,1867.17,1587.39,1837.95,2796.25,5998.89,2022.19,1688.7625259013726,1627.7225259013726
ZEEL,Entertainment / Electronic Media Software,151.9,530.04,2008.54,2162.24,3707.94,14590.26,2102.19,1755.5717782822614,1603.6717782822614
ASTERDM,Healthcare,346.6,1164.19,3061.81,3147.96,1871.13,17313.13,2311.2725,1930.1798471688514,1583.5798471688513
INDIACEM,Cement - South India,287.6,684.91,1721.94,2243.46,4232.31,8912.62,2220.6549999999997,1854.5037543235364,1566.9037543235363
BERGEPAINT,Paints / Varnishes,508.85,1359.56,2264.23,2716.22,3576.97,59321.52,2479.245,2070.456311488212,1561.6063114882122
TNPL,Paper,274.05,1732.91,1498.93,2974.78,2529.74,1896.72,2184.09,1823.9677504071967,1549.9177504071968
JAGRAN,Entertainment / Electronic Media Software,90.7,899.75,1612.73,2101.26,3202.55,1974.12,1954.0725,1631.8765352881824,1541.1765352881823
RVNL,Construction,417.8,3163.46,2456.8,1279.73,2383.23,87112.09,2320.805,1938.1405871478617,1520.3405871478617
ASHOKA,Engineering - Turnkey Services,225.75,1139.89,2179.45,2341.68,2681.8,6337.33,2085.705,1741.8048967135244,1516.0548967135244
COFFEEDAY,Hotels,55.56,691.28,2578.47,1869.23,1723.49,1173.73,1715.6174999999998,1432.7390318321216,1377.1790318321216
WELSPUNLIV,Textiles - Products,155.4,865.51,1685.08,1972.85,2743.43,15101.91,1816.7175000000002,1517.16922452847,1361.76922452847
BGRENERGY,Engineering - Turnkey Services,38.0,787.83,1624.54,1842.24,2405.3,274.23,1664.9775,1390.4487750750188,1352.4487750750188
HEIDELBERG,Cement - North India,223.75,730.62,1539.73,2249.65,2767.25,5070.51,1821.8125,1521.4241387894779,1297.6741387894779
GREENPOWER,Power Generation And Supply,20.34,716.08,1184.72,1850.37,2555.45,1994.79,1576.655,1316.6892726573806,1296.3492726573807
