NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
SCHAEFFLER,Bearings,4649.65,934.91,1536.34,1797.26,2098.57,72675.73
LINDEINDIA,Chemicals,8413,606.33,1128.65,1599.03,1945.37,71746.08
TORNTPOWER,Power Generation And Supply,1484.05,2772.74,6734.93,7700.21,9429.94,71325.93
AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1210.85,1303.52,5776.12,6604.08,8543.05,70948.41
BLUECHIP,Finance & Investments,4.3,2.19,4.04,3.17,3.09,23.78
HINDPETRO,Refineries,333.05,5042.98,2940.49,4562.1,23886.91,70867.12
GICRE,Finance & Investments,385.8,31763.88,53656.22,70041.79,86511.44,67684.75
PERSISTENT,Computers - Software - Large,4375.4,1930.11,2817.96,3568.9,3943.96,67403.01
JSL,Steel - Large,815.35,4884.76,7035.85,9505.97,15917.03,67138.75
FACT,Fertilizers,1030.05,942.07,3074.1,3289.2,3286.81,66651.63
ASTRAL,Plastics Products,2380.9,718.7,1403.8,1624.18,1701.58,63957.34
BCG,Computers - Software - Medium / Small,8.98,652.01,683.97,757.67,962.41,1812.09
CONCOR,Miscellaneous,1042.5,2203.95,6060.44,3834.96,3304.95,63518.96
BURNPUR,Cement - North India,9.34,47.35,50.54,58.31,152.31,80.48
BALKRISIND,Tyres,3207.95,16.07,822.02,1246.61,3360.04,62015.22
SAIL,Steel - Large,149.5,17448.07,32467.62,35361.3,24606.1,61751.38
PATANJALI,Solvent Extraction,1647,1906.32,2046.55,3163.56,2943.48,59620.55
ALKEM,Pharmaceuticals - Indian - Bulk Drugs & Formln,4975.3,3997.09,5350.08,5191.8,5691.03,59487.18
COCHINSHIP,Miscellaneous,2260.05,2132.27,2248.19,2073.69,2833.27,59457.56
BERGEPAINT,Paints / Varnishes,508.85,1359.56,2264.23,2716.22,3576.97,59321.52
BDL,Engineering,1616,2780.8,4239.64,3724.74,2294.01,59236.51
ABBOTINDIA,Pharmaceuticals - Multinational,27674.35,2928.26,4242.37,4925.99,5637.97,58808
PIIND,Pesticides / Agrochemicals - Indian,3838.15,2788.3,3104.5,3277.4,3538.59,58231.7
CAREERP,Miscellaneous,396.25,11.02,24.59,128.66,69.54,720.9
PGHH,Personal Care - Multinational,16647.35,2136.38,2969.98,3748.82,4585.72,54038.54
UBL,Breweries & Distilleries,2014.05,339.61,914.61,1482.9,2521.53,53251.5
CELEBRITY,Textiles - Products,19.33,48.73,59.43,72.05,117.32,109.31
TATACOMM,Telecommunications - Service Provider,1862.35,6563.07,9237.96,9445.36,11634.68,53077
LTTS,Computers - Software - Large,4987.05,2990.8,4703.6,5647.9,6660.44,52777.63
CENTEXT,Aluminium and Aluminium Products,20.6,13.93,50.94,45.05,59.84,164.8
PETRONET,Miscellaneous,334.05,8893.7,15202.22,20001.25,23927.38,50107.5
AUBANK,Banks - Private Sector,673.3,14027.74,19513.04,22577.36,17207.47,50021.99
HONAUT,Electronics - Components,56583.2,1048.35,1636.35,2169.04,2504.4,50019.55
ACC,Cement - North India,2649,112.26,3343.4,4997.85,5972.3,49744.87
VOLTAS,Air-conditioners,1483,992.49,1909.18,1799.52,2923.81,49070.25
CHEMFAB,Chemicals,611.4,162.04,204.06,211.63,238.96,869.81
CHEVIOT,Textiles - Jute - Yarn / Products,1473.25,111.1,164.68,205.28,252.15,886.44
COROMANDEL,Fertilizers,1603.9,2734.51,8298.22,8687.14,9426.38,47234.94
MPHASIS,Computers - Software - Large,2493.25,5035.24,7561.29,9121.52,10838.65,47145.42
ESCORTS,Automobiles - Tractors,4172.9,748.43,2368.54,2335.43,2674.61,46109.82
CLEDUCATE,Miscellaneous,85.47,95.59,135.29,7.1,137.66,461.98
APLAPOLLO,Steel - Large,1621.2,362.28,1267.75,1322.74,1501.15,44992.3
GLAXO,Pharmaceuticals - Multinational,2653.7,3395.7,4267.51,5073.26,5155.59,44955.31
TATAELXSI,Computers - Software - Medium / Small,7055.4,1453.22,2084.65,2453.51,2765.78,43938.51
COFFEEDAY,Hotels,55.56,691.28,2578.47,1869.23,1723.49,1173.73
GUJGASLTD,Miscellaneous,633.85,2383.99,4113.81,4877.3,5917.34,43633.6
PAGEIND,Textiles - Products,38945.25,1049.47,2174.12,2762.76,3281.56,43423.92
COMPINFO,Trading,3.69,135.2,104.27,87.21,143.92,31.65
CONSOFINVT,Finance & Investments,197.4,17.42,34.23,93.15,8.75,638.88
UPL,Pesticides / Agrochemicals - Indian,572.3,9261,21212,23450,26412.95,42957.26
